Row ID,Approved,Reason,Mod Status,Source,Source-row,Timestamp,Entry Age (in days),What is the name of the hospital or clinic?,Final Address,Street address for dropoffs?,City,State?,"Write drop-off instructions below or paste a link to your organization's own page containing instructions. For written instructions, please include details such as curbside procedure, mailing address, email address, and/or phone number. Please note all information entered here will be made public.",Wants mail,What do you need?,Will you accept open boxes/bags?,Type of request:,Type of organization?,Lat,Lng,RDI,Action link for LGTM,Action link for Remove,Row
21,x,,FM,,,3/20/2020 11:22:28,83,Thompson Hospital,"350 Parrish Street 
Canandaigua, NY 14424","350 Parrish Street 
Canandaigua, NY 14424",Canandaigua,NY,"Drop-off at the loading dock, 7am-5pm. Call 585-396-6000",,"N95s, Surgical Masks, Disposable Booties, Safety Goggles, Gloves, Face Shields, Reusable Respirators",Yes,,Hospital,42.8762316,-77.2897296,Commercial,https://findthemasks.com/api/exec?cmd=AiAgKFHNyVSelf5rT40ga6vZEJyzBF89SxHFhJzYsXPCPnLL87uCLQfwCsp7A9KgfGf7BF2Jth5RbnrqDSckG1erg-4QvurtQfjNyso.,https://findthemasks.com/api/exec?cmd=Mz1t3mG4UNdXdfDuu_kZvkfYlugVhfypWGAbN5ypQ1-d-P5L6ShnvWIB34lm2YDjtvUMBuAKe1Qf_Dkgejej3FuecFKim3DWJR0n1lk.,21
23,x,,FM,,,3/20/2020 12:55:06,83,St. Clare Hospital,"11315 Bridgeport Way S.W.
Lakewood, WA 98499","11315 Bridgeport Way S.W.
Lakewood, WA 98499",Lakewood,WA,Please deliver donations to ER security desk,,"N95s, Surgical Masks, Face Shields, Disposable Booties, Safety Goggles, Gloves, Gowns",Yes,,Hospital,47.1545124,-122.5019772,Commercial,https://findthemasks.com/api/exec?cmd=L46cEEo3wdN_I8CzbTX6-Pgbwn6Mrc6UGM1YA8fPl8FGu96JogHMseuz6H6HRJ_InSayWVRtiDCVviT3uYjS_P9k0q2VN1lKo6hBAAw.,https://findthemasks.com/api/exec?cmd=RJuVdH-wUnPFgCpVqVK1BmxUKLtnqMSuOhzMUmb9fDF9volaFWPvld7i96okuFtR5uM5cmbcNalcSqEBh7qjc4AbvQ-r8yGv1gqd-Y0.,23
25,x,,FM,,,3/20/2020 13:47:06,83,Providence Sunnyside Clinic,"9290 SE Sunnybrook Blvd Suite 120
Clackamas, OR 97015","9290 SE Sunnybrook Blvd Suite 120
Clackamas, OR 97015",Clackamas,OR,Leave at front desk,,"N95s, Surgical Masks, Face Shields, Disposable Booties, Safety Goggles, Gloves",Yes,,Outpatient Clinic,45.4293242,-122.569141,Commercial,https://findthemasks.com/api/exec?cmd=urGHRC0IES1-4mcPpnt6z5GKwKac4OyVOJ0aXQfoci7R43evtj9u7mc5hwkTDkPgcH_5DzYkh-SH38W4b1x2xIC4Oh3Kbdl80wYHseU.,https://findthemasks.com/api/exec?cmd=yAoI_1kfpGB3XT9lP0IqjnTIYvp7BZC8jBwc2NnGMLyAIAZDW5AAbpVTehWUwJNbG8GzYPbxej78zGfFpYO7vPMqiwrrvQibI7k2y-U.,25
28,x,,FM,,,3/20/2020 14:33:20,83,Allegro Pediatrics - Bothell,"19801 North Creek Parkway, Suite # 201
Bothell, WA 98011","19801 North Creek Parkway, Suite # 201
Bothell, WA 98011",Bothell,WA,TBD,,"N95s, Surgical Masks, Face Shields, Disposable Booties, Safety Goggles, Gloves",Yes,,Doctor's Office,47.7711358,-122.187867,Commercial,https://findthemasks.com/api/exec?cmd=myGeMp2wOusWRHLfJZC9RrE45DsU5PcPsnC2ewJgeJbkVBEOMs2sVUlZ_h9a4Qj1uAqFTfWFxlVkscFekX4X5cilcEHEWtnTd2kduqY.,https://findthemasks.com/api/exec?cmd=IWAc8OIUdgrIR08Ub0GQvC6Y4o3D26QpyTxq4qBzRGYjHll5-4DEqrEM7acvPAY6LWgBgrMi_oetsRF2H_rHiKkn_gYpVLAhA3cLTAo.,28
30,x,,FM,,,3/20/2020 14:48:29,83,Dominican Hospital,"1555 Soquel Dr 
Santa Cruz, CA 95065","1555 Soquel Dr 
Santa Cruz, CA 95065",Santa Cruz,CA,Drop off with waiting room receptionist,,"N95s, Surgical Masks, Face Shields, Unsure about non-mask items, bring them just in case?",Unknown,,Hospital,36.989473,-121.9844119,Commercial,https://findthemasks.com/api/exec?cmd=uDDt99yxmJKP7RzECbX56daKajP0LG0wmvoMWKzayz7LlwCRolAL3pDQy0YE13RBksCtPQw8CEgC5m5K3jmKwAGvtCZ6jxJSjaxYO0M.,https://findthemasks.com/api/exec?cmd=nHTQYiI-JluMdsAgN2-SpKSNBw20ylWhpSrHMprl0j9mxg8cCn68lu0QyzcVAkEfwGwlht7JhOtbrNJ7Vyi1i-v6ESUFFKCzXodqJoY.,30
31,x,,FM,,,3/20/2020 14:52:09,83,Seattle Cancer Care Alliance,"1354 Aloha St
Seattle, WA 98109","1354 Aloha St
Seattle, WA 98109",Seattle,WA,"Drop off at the front desk attn: Kim Koegel, or a nurse can come pick it up directly from your car in the front drive. Call (206) 606-1329 for direct nurse pickup from your car.",,"N95s, Surgical Masks, Face Shields, Gloves, Gowns, Hand sanitizer, Disinfecting wipes",Individual masks should be sealed. No FDA verification necessary.,,,47.6265109,-122.329946,,https://findthemasks.com/api/exec?cmd=TB6_Z-GUW6DlhwkVuAZaRCdmXMLDD-adLdsytqU3N_tPwtKHhhD7btajS20qc1ssB2lLoAeTLKMninNAG0S3wCYvvZCXUPhrwsdBsBU.,https://findthemasks.com/api/exec?cmd=LtOBntFs_R1EVmvRdgF488lfMQBOGqZTJn_T178NmBL0WiwqlwNDl1vkLg6kXgOPmnVKmRs0ede7JIrv_0kPUXhyN7JV-Zg2TvYlKlA.,31
32,x,,FM,,,3/20/2020 14:59:59,83,Woodhull Hospital,"760 Broadway
Brooklyn, NY 11206","760 Broadway
Brooklyn, NY 11206",New York - Brooklyn,NY,Drop off at front desk and tell them the donations are for the Emergency Department,,"N95s, Surgical Masks, Gloves",Unknown,,Hospital,40.6996948,-73.9425116,Commercial,https://findthemasks.com/api/exec?cmd=GM4q9MpaGgUipqCZQxefTJ8uB6YQA6vWN4ragFEaQQGLMZZ70jwDJBQiPM2ZJ8NcG7apVDaSklQYm2HBkMA5dX58YaRdicowuPwSKOA.,https://findthemasks.com/api/exec?cmd=doLWg2ASXd_rOHjXG_oKIvw5dRYpld19qNEtTGW9AbwoD2H6FgSt79_hnyQeaG_zK4Zwsy2DGhe8WRWWnNLlGyby9uleh9oxOdLliWg.,32
34,x,,FM,,,3/20/2020 15:18:57,83,Northwest Kidney Centers,"1903 South 128th Street
SeaTac, WA 98168","1903 South 128th Street
SeaTac, WA 98168",SeaTac,WA,"Drop off at the Logistics Center, 1903 S. 128th between 7am-3pm Monday through Friday. Ring the doorbell at the pedestrian entrance or loading dock. Call 253-905-4574 with questions. ",,"Surgical masks, Gloves (Vinyl or Nitrile), Liquid Hand Sanitizer ",No,,Dialysis Center,47.488616,-122.3080552,Residential,https://findthemasks.com/api/exec?cmd=g0HsHnFkS2T98oTRIDDSksGQBS3bYAW-RtIjCQ2u4epEVsd2Dc0HI9jenWVH-53egMgA-mxM16MULzMi-rPjzMW5lBeSBsxFyA3e_5I.,https://findthemasks.com/api/exec?cmd=_kwiIW_e1e9-pwAuUXzwZobo1M7SCE85WdjqdC9vFaMijgwM8EVg0hUpqOD9nYxEAZq4NhN3iz7-bZL6D8qOq2BNlYc5xEVGQihYuvA.,34
41,x,,FM,,,3/20/2020 16:31:16,83,Altech Diagnostics - on behalf of local Nurses,"4020 SW 54th Ave
Davie, FL 33314","4020 SW 54th Ave
Davie, FL 33314",Davie,FL,Drop at front gate. This will be residential area,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes,,,26.0723829,-80.2189511,Residential,https://findthemasks.com/api/exec?cmd=TjRsAMdYJ65CBTdNTFyiJU8fY8HFjtxeVBhYTlZ49-D5x0peIulK2TpK7LJxg6QS40K-SAQqXRH8lR6PSVhz_qhh14HROBzJ0pKKTRg.,https://findthemasks.com/api/exec?cmd=JPUwU7Y7uZoZR-FxYvyFCSTNSnknRC4-MRmqnwcevnoa4z81Qq-WzQj43rkl-JPwj0SWKnUThDBcbVIQjl3F0Komj25rbtgXEykYtDs.,41
42,x,,FM,,,3/20/2020 16:41:29,83,Ochsner Medical Center - Hancock,"429 Drinkwater Blvd 
Bay St Louis, MS 39520","429 Drinkwater Blvd 
Bay St Louis, MS 39520",Bay St Louis,MS,TBD,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",No,,Hospital,30.3171242,-89.3555637,,https://findthemasks.com/api/exec?cmd=mB4FAXyTBVYndAafjJLrYScS3aAjh5b-izi07M5DdawsW4LyyGU9ljYAXBVkcys-2v5fR2B48hXjK1g-H4Yda2t6qvmQezuzV9vNaCg.,https://findthemasks.com/api/exec?cmd=yG0zBpZ2xkVhLGI8zodfikxaUrigcZb7cXb-P2ISUrvF1kvioTKjRFLHRfQGVdrE182pltK0wQdLJOnutmKGjf-CtH__b9tEp4SvGss.,42
46,x,,FM,,,3/20/2020 19:11:21,83,Henry Ford Medical Center - Ford Road,"5500 Auto Club Dr
Dearborn, MI 48126","5500 Auto Club Dr
Dearborn, MI 48126",Dearborn,MI,"Eunice Yu, third floor internal medicine",,"N95s, Surgical masks, Face shields, Safety goggles",No,,Hospital,42.325353,-83.2200884,Commercial,https://findthemasks.com/api/exec?cmd=MsWmM3NZOtOl55-dEqFyKdIyfKpgeJKiWaLO8YdlA4eatysdpJhu0HZz_rCmnzoBBGTr1KtLmBB_naoQt8E8R4H-GvwY72o0OJv0Tow.,https://findthemasks.com/api/exec?cmd=mDsEE5SRcmuBCahmKUJGmXD3FRvAHoclHTsw3soU4rikk70_bPvXWjqrgOtdsSoaxXWRxSCWcwXq1dStaO-SFoy9W4YeSECdlSOvFNs.,46
47,x,,FM,,,3/20/2020 19:32:44,83,St Charles Healthcare System ,"2500 NE Neff Rd
Bend, OR 97701","2500 NE Neff Rd
Bend, OR 97701",Bend ,OR,Attention to Dr. Campos: hematology oncology entrance through the heart and lung center ,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes,,Hospital,44.0679885,-121.2694821,Commercial,https://findthemasks.com/api/exec?cmd=0ptkvEUf_MMSRx6JH8Xk1yQVyc56CYr1DE7yE9ZUb__A1EEu1Z43-_1TP3df0uIjdLASNwX3qHoAmNJAQWku0R6gx9bPkRDpJknRobM.,https://findthemasks.com/api/exec?cmd=LiJr8nUWFbl1ZWtGoQKy2n5qCaUJk6oPJzeP-tci0nwU3JODK6CsMREP2sutm6-f4fik_e3j6TOstYE_CaUXGUpJUQCSopPPEbJxh4M.,47
48,x,,FM,,,3/20/2020 19:53:15,83,"NewYork-Presbyterian/Columbia University Medical Center, Milstein Hospital Building","Milstein Hospital Building
177 Fort Washington Ave
New York, NY 10032","Milstein Hospital Building
177 Fort Washington Ave
New York, NY 10032",New York - Manhattan,NY,"Please email masks@nyp.org to coordinate. 
",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes,,Hospital,40.8414368,-73.9430784,,https://findthemasks.com/api/exec?cmd=uaDRb38VitxkL9Exj_C-qGFwDC2_QS3x-6J54OdPAThLWl_l8wZFw_tM3X6DNo7ZRX5F5cBH_-RISN2uUGmPrvdXG0TCbz5mguf4mBc.,https://findthemasks.com/api/exec?cmd=XLGEJFSTPhoR9GpYo1TzMmWqpLqZbYP0-GLSu7PFCu7gg4OyoHKa_0SVbdrTriauVosVrUkOx4oXgSxdF5KeMEUSHUraMkbgmmCO8ko.,48
49,x,,FM,,,3/20/2020 19:54:57,83,Providence Saint John’s Health Center ,"2121 Santa Monica Blvd 1st Floor
Santa Monica, CA 90404","2121 Santa Monica Blvd 1st Floor
Santa Monica, CA 90404",Santa Monica,CA,"Drop off or mail to Dr. Paul Natterson’s attention. Mailing address: Providence Saint John’s Health Center, 2121 Santa Monica Blvd, Santa Monica, CA 90404

OR

Drop off at front of hospital.",Y,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Gowns",Yes,,Hospital,34.0307739,-118.4796445,Commercial,https://findthemasks.com/api/exec?cmd=ej-VgvICJE4YPHPUNUmWqqKBNbkCgdWfKSmgctQyXbssmyHYs9O70QDjWfFQGCHFMdSYKy-j9BKIwi7muwmgtxXsxXe3px4TCJKHRbA.,https://findthemasks.com/api/exec?cmd=8NmKYcY2ttn99tWGwW6ggp_-94XS3Hutla1hUsACjhlOPcNrJuNI8I-CzbtyjbrdW0Caze6vxp3LJCaTmgALJ005rxVVATe4olOGJYw.,49
50,x,,FM,,,3/20/2020 20:00:40,83,Pacific Heart Institute ,"2001 Santa Monica Blvd, Suite 280W
Santa Monica, CA 90404","2001 Santa Monica Blvd, Suite 280W
Santa Monica, CA 90404",Santa Monica,CA,"Call 310-829-7678 and ask for Lan for curbside drop off, or mail to Pacific Heart Institute, 2001 Santa Monica Blvd, Suite 280W, Santa Monica, CA 90404",Y,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves, Hand sanitizer, disinfectant wipes",Yes,,Doctor's Office,34.0290544,-118.4799639,Commercial,https://findthemasks.com/api/exec?cmd=P9KM1Ih-A0w6itVKUovL_sK5Rhrm5Gnh2gu1Z1nHfoQDUktHZjo8dT_uSey7YD5c4cDQJ4eFS9hsD5exIC5AqCBywgqqO_wYhQ94eYw.,https://findthemasks.com/api/exec?cmd=5Gb2JXpzrM0MRGrA-IJCqBwPNoaj8RYPN0F-KvwXJFHjBukFEcNCdbD1Hj2fvf2-0woAmmqHKlOcPHRIagwjOOx8x8beiOg8ZxXf3-E.,50
57,x,,FM,,,3/20/2020 21:32:38,83,Kaiser Permanente - Santa Rosa,"401 Bicentennial Way
Santa Rosa, CA 95403","401 Bicentennial Way
Santa Rosa, CA 95403",Santa Rosa,CA,Emergency Department,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes,,Hospital,38.4715941,-122.7267519,Commercial,https://findthemasks.com/api/exec?cmd=nrtAENfeg5EYX8HqXBAf5pnM7WQXsyIcJoz59KC5xhrOI9m80N29qWSio00DqdkroL94wRGzSrf_7mMDAV6w4wZeGhgBlCH15tFd9yc.,https://findthemasks.com/api/exec?cmd=xH1-VsMtSWxqb53BxVNzETlM1MK4RQYziUc_qLgIb2HqPzdMQpsh_cDdrgfil-99KEJyzJXrrhRab28Xk3T4XdBuLDTugr5_LT7VvkI.,57
59,x,,FM,,,3/20/2020 22:19:11,83,Renown Regional,"1155 Mill St
Reno, NV 89502","1155 Mill St
Reno, NV 89502",Reno,NV,"Drop off to ER, or any check in location ",,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",Yes,,Hospital,39.52552,-119.7952114,Commercial,https://findthemasks.com/api/exec?cmd=k-x-CzpxZGhyuT2ED-GPw4XvHFhcukZuVQLSwQQLqHjs9ysU3jYQ9xeqjRVEb_DlDcrNOvfsW-9p2BkK6sk-pQH9c-mqRv1fiR-MC_8.,https://findthemasks.com/api/exec?cmd=ZNLB-5z-xizqoXHmRATlHMhz-4UEo7t-Yswz8c58CWj-R0xz128P8TaAMVgB6TTmUJmtgZl_JCbLbf7AilccMZVFbFIW_l5KbCWhvYc.,59
61,x,,FM,,,3/20/2020 22:46:06,83,Kadlec Medical Center,"888 Swift Blvd
Richland, WA 99352","888 Swift Blvd
Richland, WA 99352",Richland,WA,Attn: Emergency Room,,N95s,Yes,,Hospital,46.2813864,-119.2822234,Commercial,https://findthemasks.com/api/exec?cmd=IUEJLsfW2Owod1KR7XGTQebQqhNgKFPJ7SH4ZmatZLfZBS1MU-Uk2RggdxbIno1jfqnmi44_6ifgheJzDumiFntYRq-qeumS3lDwdTE.,https://findthemasks.com/api/exec?cmd=eRcyL1x6Lumi5r_0fLrNJtQqL5Y7xuoJTyh1YpuS5s_kVY-t5vZjAgsJhfVMVxFbL9HKLwAF7USO6lxTaT6h7eWPRCd_Y8jTQX0i5KY.,61
65,x,,FM,,,3/20/2020 22:55:03,83,Legacy Health System,N/A,N/A,Portland,OR,Please contact giving@lhs.org,,"N95s, Powered, air-purifying respirator (PAPR)",Unknown,,Hospital,37.09024,-95.712891,,https://findthemasks.com/api/exec?cmd=ZyxCdA3iMykLO0uxGMGkVOZ1fVeo1jxssLj2GC806dsh4a7Vn_U9t31j8txo25gJ6Mx1IZCgzMzEkyVHuYH5dGvhPqbC92JJzIKloTk.,https://findthemasks.com/api/exec?cmd=_t2PxOzv1zsa3N9m_n7DlIU84RlY82743lA-ZYW2G11TdUgBj9Gkm8qdnNxqn5Jo7vamf-UBKrPv9iCSNJDqcYC24Z2XlQ8dWvqCH0E.,65
66,x,,FM,,,3/20/2020 22:57:55,83,Portland Fire & Rescue,"1300 SE Gideon St
Portland, OR 97202","1300 SE Gideon St
Portland, OR 97202",Portland,OR,Between the hours of noon-4 pm Monday - Friday,,"N95s, Surgical masks, Face shields, Disposable booties, Safety goggles, Gloves",N/A,,Emergency Medical Services,45.5020094,-122.6529073,Commercial,https://findthemasks.com/api/exec?cmd=A66SFzegRMIr6yFCkeWTMfnNpbzfSKL3KEuxy7kkLE0B9aXpjLdsOLmtRrm_BeJmEE5vVOkKsGNHwDwAIB_knRk6nO8VnSWg4Q3AJT4.,https://findthemasks.com/api/exec?cmd=YlhU5ffiNaw2OsQIc4IhpcK_YAztibPn5OO1rN1RWxAByqpJecsaa8H8TmdagfRDqIq1ZNpUizCGLUxJxFMQpns7Y2qbNUAbCfDPXzs.,66
67,x,,FM,,,3/20/2020 22:58:44,83,Bay Cove Human Services,"66 Canal St
Boston, MA 02114","66 Canal St
Boston, MA 02114",Boston,MA,Call Stacy at 802-274-1771. Drop off at location.,,"N95s, Surgical masks, Face shields, Safety goggles, Gloves, infrared thermometers, sanitizer",Yes,,Public Health Facility,42.3636637,-71.059666,Commercial,https://findthemasks.com/api/exec?cmd=QwE9HvjpJ1gY54xNRpUIHMQcLhvs-2PelsqXJQ1zw3_MJ9WOR_0Pa2A5B_0xbNEAdzSSPKAX9gME7Z31bslJmtY403RS52CpnwtRWtA.,https://findthemasks.com/api/exec?cmd=LEOL9AcIn9pgcipM-p_KzDM8TdAUpilbaHsxlZudP6oat7y28WGpe3wfRS07fNaJWBO7oIy9nt0wgIsYTzv-nhtudMqYM_tm3OxKZM4.,67
